ID,Article,Type
TRAIN_298,"Eiffel refers to the Eiffel programming language, which is a high-level, object-oriented programming language designed by Bertrand Meyer in the mid-1980s. The language is named after Gustave Eiffel, the French engineer who designed the Eiffel Tower. Eiffel is known for its focus on software engineering principles such as design-by-contract, automatic memory management, and the use of the Uniform Access Principle. The language's syntax is designed to be simple, readable, and expressive, with features that encourage modular programming, extensibility, and maintainability. Eiffel is commonly used in developing mission-critical software systems, such as aerospace, finance, and medical applications, where reliability, safety, and security are of paramount importance. The language is also used in education and research, particularly in the study of software engineering and formal methods.",AI-generated
TRAIN_299,"Moving toward greater autonomy, we have the â€œservice robotsâ€ that have begun to show up in some institutions such as hospitals and laboratories. These mobile robots are often used to deliver supplies. For example, the HelpMate robot can travel around a hospital by itself, navigating using an internal map. It can even take an elevator to go to another floor. Service robots have had only modest market penetration, however. They are relatively expensive and limited in function, and if relatively low-wage more versatile human labor is available, it is generally preferred. For now mobile robots and service robots are most likely to turn up in specialized applications in environments too dangerous for human workers, such as in the military, law enforcement, handling of hazardous materials, and so on.",Human-written
TRAIN_300,"Broadly speaking, a graphics file consists of data that speci-fies the color of each pixel (dot) in an image. Since there are many ways this information can be organized, there are a variety of graphics file formats.",Human-written
TRAIN_301,"Web sites such as news providers and blogs , are constantly posting new material. While readers can periodically visit a site to look for new material, an increasingly popular option is to subscribe to a â€œWeb feedâ€ and receive the latest information automatically. The most commonly used tool for Web feeds is RSS, which can stand for Really Simple Syndication, Rich Site Summary, or RDF Site Summary, depending on the format used. The data in an RSS feed can include article titles, summaries, excerpts (such as the first paragraph), or the complete article or posting. Feeds can also include multimedia such as graphics, video, or sound. The data (and any linked material) is formatted using standard markup elements ,. As part of the process of setting up a feed on the Web server, the feed is â€œpublishedâ€ so that it can be found and read using a client program called a reader or aggregator (the latter can combine feeds or organize them in a newspaper-like format for convenience). RSS readers can be stand-alone applications or be included with many modern Web browsers and e-mail clients. Alternatively, Webbased readers or aggregators such as NewsGator Online can allow feeds to be read using any Web browser. Readers of Web pages can find RSS feeds by looking for a â€œsubscribeâ€ icon or the words RSS or XML. Specialized search engines such as Bloglines can also help users find interesting feeds. Additionally, information on the server can also be used by software to automatically deliver the latest content",Human-written
TRAIN_302,"Access Control Matrix (ACM) is a security model used to specify the access rights of subjects to objects in a computer system. The ACM is a table or matrix that lists all the subjects (users, processes, programs) and objects (files, directories, devices) in a system, along with the access rights that each subject has to each object. The access rights can include read, write, execute, and delete permissions. In an ACM, each row represents a subject and each column represents an object. Each cell in the matrix indicates the access rights of the corresponding subject to the corresponding object. For example, a cell may contain the value ""rwx"" to indicate that the subject has read, write, and execute permissions to the object. The ACM provides a way to control and manage access to resources in a system by ensuring that only authorized users or processes can access specific objects. It is also useful for auditing and tracking user activity, as it provides a clear view of who has access to what resources in the system. ACMs can be implemented using various access control models, such as discretionary access control (DAC), mandatory access control (MAC), and role-based access control (RBAC). Each of these models uses different methods for assigning access rights to subjects based on their identity, job function, or security clearance level.",AI-generated
TRAIN_303,"In the 1940s, the main objective in developing the first digital computers was to speed up the process of calculation. In the 1950s, the machines began to be used for more general data-processing tasks by governments and business. By the 1960s, computers were in use in most major academic, government, and business organizations. The desire for users to share data and to communicate both within and outside their organization led to efforts to link computers together into networks. Computer manufacturers began to develop proprietary networking software to link their computers, but they were limited to a particular kind of computer, such as a DEC PDP minicomputer, or an IBM mainframe. However, the U. S. Defense Department, seeing the need for a robust, decentralized network that could maintain links between their computers under wartime conditions, funded the development of a protocol that, given appropriate hardware to bridge the gap, could link these disparate networks ,.",Human-written
TRAIN_304,"Google and other large search enginesor portals can make money from advertisers is throughâ€œaffiliate marketingâ€; Googleâ€™s version is called Ad Sense. Participating Web sites are indexed, and the resulting keywords are matched with ads awaiting placement. The sitecarrying the ad generally gets a per-click payment. However, the problem of â€œclick fraudâ€ has also arisen: Scammerscan set up an affiliate site and then use special software togenerate the clicks, while making them come from a varietyof sources. Despite these problems, in 2006 about 40 percent of revenue from online advertising was attributed tosearch-related ads.",Human-written
TRAIN_305,Password is usually a string of alphanumeric characters a user will type onhis or her keyboard with lower and/or uppercase letters as well and hopefullywithout vocals such as (19mlnMY82]. Ideallyâ€š a computer or a network hasits own dictionary of common passwordsâ€š whereby a password previouslyused or included in the dictionary is refused by the system. Passwords must never (ever) be written down. Neither should one useoneâ€™s firstâ€š last or a family memberâ€™s name nor one containing all digits or aword contained in a dictionary. Below are some additional issues that needto be remembered.,Human-written
TRAIN_306,"The Document Object Model (DOM) is a way to represent a Web document , as an object that can be manipulated using code in a scripting language ,. The DOM was created by the World Wide Web Consortium (W3C) as a way to standardize methods of manipulating Web pages at a time when different browsers used different access models. The full specification is divided into four levels (0 through 3). By 2005, most DOMspecifications were supported by the major Web browsers. Using DOM, a programmer can navigate through the hierarchical structure of a document, following links or â€œdescendingâ€ into forms and user-interface objects. With DOM one can also add HTML or XML elements, as well as load, save, or format documents.",Human-written
TRAIN_307,"In-house documentation refers to the process of creating, maintaining, and updating internal documents within an organization. These documents can include policies, procedures, guidelines, manuals, and other resources that are used by employees to perform their jobs effectively. In-house documentation is essential for any organization because it provides a consistent framework for how work is done and helps to ensure that everyone is on the same page. It also helps to ensure that best practices are followed, and that employees have the information and resources they need to do their jobs well. Examples of in-house documentation include employee handbooks, training manuals, operational procedures, and quality control guidelines. These documents are typically created by internal staff, such as human resources, training departments, or subject matter experts, and are designed to meet the specific needs of the organization. In-house documentation may be stored in a variety of formats, such as paper documents, electronic files, or cloud-based systems. It is important to ensure that these documents are up-to-date and accessible to all employees who need them. Overall, in-house documentation is a critical component of organizational success, providing a consistent framework for how work is done and ensuring that employees have the resources they need to perform their jobs effectively.",AI-generated
TRAIN_308,"FireWire is a high-speed serial interface used by personal computers and digital audio and video equipment. (The name FireWire is an Apple brand name, but it is used gener-ically. Technically it is the IEEE 1394 Serial Bus. )FireWire was developed in the 1990s by the IEEE P1394 Working group with substantial funding from Apple and help from engineers from major corporations including IB m, Digital Equipment Corporation (DEC), Sony, and Texas Instruments. In 1993 it was hailed as the â€œmost sig-nificant new technologyâ€ by Byte magazine.",Human-written
TRAIN_309,PCx is a compressed bitmap format originally used by the popular PC Paintbrush program. In recent years it has been largely supplanted by BmP and TIFF.,Human-written
TRAIN_310,"There are a variety of ways to electronically register, store, and process votes. In recent years older manual systems (paper ballots or mechanical voting machines) have been replaced in many areas with systems ranging from purely digital (touch screens) to hybrid systems where marked paper ballots are scanned and tabulated by machine. However, voting systems have been subject to considerable controversy, particularly following the Florida debacle in the 2000 U. S. presidential election. The criteria by which voting systems are evaluated include:, how easy it is for the voter to understand and use the system, accessibility for disabled persons, whether the voterâ€™s intentions are accurately recorded , the ability to make a permanent record of the vote, prevention of tampering (physical or electronic), provisions for independent auditing of the votes in case of disputeThe degree to which a given system meets these criteria can vary considerably because of both design and implementation issues.",Human-written
TRAIN_311,Port Address Translation (PAT) is communication technology used byrouters to allow multiple users in a local network to accessâ€”with their ownIP addressâ€”the Internet or corporate networks via a single public address. PAT actually translates multiple private IP addresses to a single public addressâ€š or to a public sub networkâ€š recognized by the IP service provider. Thisfunction can reduce operating costsâ€š increase security and simplify Internetaccess. If an attacker wants to access ports connected to the 3Com OfficeConnectRemote 812 ADSL router the router will not allow this connection. Howeverâ€šfirmware versions V1. 1. 9 and V1. 1. 7 had a confirmed vulnerability that ifa connection is made to a redirected port using PAT and then to any portnot redirected using PATâ€š the router allows the successive connections to anyport. The problem exists with TCP and with UDP.,Human-written
TRAIN_312,"grid or cluster computing involves the creation of a sin-gle computer architecture that consists of many separate computers that function much like a single machine. The computers are usually connected using fast networks ,. The purpose of the arrangement can be to provide redundant processing in case of system failures, to dynamically balance a fluctuating work load, or to split large computations into many parts that can be performed simultaneously. This latter approach to â€œhigh-performance computingâ€ creates the virtual equivalent of a very large and powerful machine.",Human-written
TRAIN_313,"The PHP processor parses only the code within the delimiters <? and ?>. (An alternative set of delimiters is <script language =â€˜phpâ€™> </script>. Besides being embedded in HTML pages, PHP can be used interactively at the command line, where it has replaced older languages such as awk, Perl, or shell scripting for many users. PHP can also be linked to user-interface libraries (such as GTK+ for Linux/UNIX) to create applications that run on the client machine rather than the server. PHP has a basic set of data types plus one called â€œresourceâ€ that represents data processed by special functions that return images, text files, database records, and so on. Additionally, PHP5 provides full support for objects, including private and protected member variables, constructors and destructors, and other features similar to those found in C++ and other languages. There are numerous libraries of open-source objects and functions that enable PHP scripts to perform common Internet tasks, including accessing database servers (such as MySQL) as well as extensions to the language to handle popular Web formats such as Adobe Flash animation. Programmers have access to a wide range of PHP resources through PEAR (the PHP Extension and Application Repository). The combination of sophisticated features and easy interactive scripting has made PHP the language of choice for many Web developers, who use it as part of the group of technologies called LAMP, for Linux, Apache (Web server), MySQL (database), and PHP.",Human-written
TRAIN_314,"Even if scientists have a basic understanding of a system, it may be hard to determine what the overall results of the interaction of the many particles (or other elements) in the system will be. This is true, for example, in the analysis of events taking place in nuclear reactors. Fortunately computers can apply the laws of the system to each of many particles and determine the resulting actions from their aggregate behavior ,. Simulation is particularly important in fields where actual experiments are not possible because of distance or time. Thus, a hypothesis about the formation of the universe can be tested by applying it to a set of initial conditions believed to reflect those at or near the time of the big bang. However, even the most skilled scientists have trouble relating numbers to the shape and interaction of real-world objects. Computers have greatly aided in making it possible to visualize structures and phenomena using high-resolution 3D color graphics ,. Features of interest can be enhanced, and arbitrary (â€œfalseâ€) colors can be used to visually show such things as temperature or blood flow. These techniques can also be used to create interactive models where scientists can, for example, combine molecules in new ways and have the computer calculate the likely properties of the result. Finally, computer visualization and modeling can be used both to teach science and to give the general public some visceral grasp of the meaning of scientific theories and discoveries",Human-written
TRAIN_315,"Between 2000 and 2004 the numbers of text messages sent worldwide soared from 17 billion to 500 billion. At about a dime a message, texting became a major source of revenue for phone companies. Since then, texting has continued to grow, particularly in parts of Europe, the Asia-Pacific region (particularly China), and Japan (where it has largely become an Internet-based service). In the United States texting is most popular among teenagers ,. It is not uncommon to see a bench full of teens talking excitedly to one another while carrying on simultaneous texting with unseen friends in what, to many adult onlookers, appears to be an incomprehensible code, their conversation perhaps ending with ttyl (talk to you later). Loosely affiliated groups communicating by text , have organized everything from â€œhappeningsâ€ to serious protest campaigns (as in the anti-WTO [World Trade Organization] demonstrations in Seattle in 1999 and in the Philippines uprising in 2001. )",Human-written
TRAIN_316,"Although the most important part of Web 2. 0 is its business and social models, a number of Web technologies are needed to provide the flexibility and rich interaction needed to offer a new Web experience. These include:, dynamic, efficient generation of content ,, programming interfaces , using structured text files ,, platforms for running applications in the browser, such as Google apps, merging and customizing content from different sources ,, user subscription to content platforms for user-created content and collaboration",Human-written
TRAIN_317,"Asymmetrical Digital Subscriber Line (ADSL) allows voice, video anddata to be transmitted over a single telephone line at up to 6. 144 megabitsper second (Mbps) in a single direction, with significantly slower speedsin the other direction. Accordingly, it is very appropriate for downloading large amounts of data but for certain applications, such as videoconferencing, other technologies work better [see also Very-High-bit-rateDigital Subscriber Line (VDSL), Discrete Multi-Tone (DMT) modulation,Quadrature Amplitude Modulation (QAM-VDSL)].",Human-written
TRAIN_318,"The dot-matrix printer, which came into common use in the 1980s, uses a different principle of operation than typewriter-style printers. Unlike the latter, the dot-matrix printer does not form solid characters. Instead, it uses an array of magnetically controlled pins (9 pins at first, but 24 on later models). Each character is formed by pressing the appropriate pins into a ribbon that pushes into the paper, leaving a pattern of tiny dots. Besides being relatively inexpensive, dot-matrix printers are versatile in that a great variety of character styles or fonts can be printed ,, either by loading different sets of bitmaps. Likewise, graphic images can also be printed. However, because the characters are made of tiny dots, they donâ€™t have the crisp, solid look of printed type",Human-written
TRAIN_319,Apache is a freely available multiplatform web server. It is currently the most commonly used server on internet connected sites. Its genesis was in early 1995 when developers of some high visibility web sites decided to pool their patches and enhancements to the NCSA / 1. 3 server to create a patchy server. The project has since gained considerable momentum.,Human-written
TRAIN_320,"access Control Matrix means preparing a system permitting to bring together user and the systemâ€™s available resources. Preparing a matrix requires the following steps: A broad level of groups of resources that share the same or similar security objectives is established based on requirements for Confidentiality, Integrity, Availability, User Accountability, Authentication and Audit (Compliance) (CIA UAA). The resources include files, directories, applications, databases, hosts services, processes and others including those protected by the operating system or by other mechanisms. Users are grouped according to common security needs into functional teams and a group owner is identified who is responsible for group management If necessary, naming standards for resources can be defined based on the findings under 1 & 2 above, thereby further facilitating resource groupings. Now a decision can be made on the degree of access such as read, write, execute, take ownership, access control, delete, purge, modify, file scan ,. Balancing central security control and group administration decides about the involvement of security administration. A corporationâ€™s access control matrix should not become a static document but, instead, regular review and improvement is a must. This matrix is closely linked to a Role-Based Access management system, whereby user roles (e. g. , nurse versus private or general physician) have roles to perform requiring access and modification of data or addition of new information regarding an electronic patient file.",Human-written
TRAIN_321,"During the late 1950s and 1960s, software rapidly grew more complexâ€”especially operating system software and large business applications. With the typical program consisting of many components being developed by different programmers, it became difficult both to see the â€œbig pictureâ€ and to maintain consistent procedures for transferring data from one program module to another. As computer scientists worked to develop sounder principles , it also occurred to them that the power of the computer to automate procedures could be used to create tools for facilitating program design and managing the resulting complexity. CASE, or computer-aided software engineering, is a catchall phrase that covers a variety of such tools involved with all phases of development",Human-written
TRAIN_322,"Critical Infrastructure Protection (CIP) tries to coordinate efforts to protectcritical infrastructure that may include but not be limited to informationtechnology and utility grids (e. g. , electricity). Critical Infrastructure mayinclude essential services such as telecommunication, finance/banking, foodproduction, transport and logistics, energy and utilities as well as criticalgovernment services. One also should consider that in many countries much of the CriticalInfrastructure (e. g. , electricity, gas distribution and shipping) is privatelyowned. Critical Infrastructure Protection may also include Emergency Preparedness. Its mission is usually to enhance the safety and security of citizens orusers in their physical and cyber environments. Mandates could be such as:to provide a comprehensive approach to protecting critical infrastructureâ€”thekey physical and cyber components of the energy and utilities, communications,services, transportation, safety and government sectors; andto be a governmentâ€™s primary agency for ensuring national civil emergencypreparednessâ€“for all types of emergencies.",Human-written
TRAIN_323,"Smart mobs are similar in organization to flash mobs but tend to be more purposeful and enduring forms of social organization. The phenomenon was first described by How-ard Rheingold in his book Smart Mobs: The Next Social Revolution ,. Rheingold describes several examples of smart mobs, including teenage â€œthumb tribesâ€ in Tokyo and Helsinki, Finland (named for their use of tiny thumb-operated keyboards on cell phones). Their typical activities included organizing impromptu raves or converging on rock stars or other celebrities.",Human-written
TRAIN_324,"Protocol is a set of formal rules describing how to transmit data, especiallyacross a network. Low level protocols define the electrical and physicalstandards to be observed, bit- and byte-ordering and the transmission anderror detection and correction of the bit stream. High level protocols dealwith the data formatting, including the syntax of messages, the terminal tocomputer dialogue, character sets, sequencing of messages etc. Protocols are,therefore, a set of rules that define how communications should take place,as they are common formulas that enable two separate computers to â€˜speakâ€™with and â€˜understandâ€™ each other. The first group of protocols includes the Transmission Control Protocol/Internet Protocol (TCP/IP) family, used for communication via Internet. Other examples are such as HTTP that is used for Web page communications,being a subset of TCP/IP",Human-written
TRAIN_325,"A dynamic link library (DLL) is a collection of small programs that larger programs can load when needed to complete specific tasks. The small program, called a DLL file, contains instructions that help the larger program handle what may not be a core function of the original program. An example of those tasks might be communicating with a specific device, such as a printer or scanner to process a document. DLL files that support specific device operations are known as device drivers. DLL contains bits of code and data, like classes and variables, or other resources such as images that the larger program can use. In addition to being a generic term for dynamic link libraries, Dynamic Link Library is also the name of Microsoft's version of the shared library concept for Windows. A shared library can exist in any operating system (OS).",Human-written
TRAIN_326,"Demilitarized Zone (DMZ) is a separate and shielded or â€˜cut offâ€™ systemfrom the main corporate network, containing technical equipment such asthe Webpage. This further protects the main system from being accessed byexternal parties or via the InternetThe term comes from the buffer zone that was set up between North Koreaand South Korea following their war in the early 1950s. A DMZ is not a singlesecurity component; it signifies a capability. Within the DMZ one can find:firewalls,choke and access routers, and alsofront-end and back-end servers. Essentially, the DMZ provides multi-layer filtering and screening to completely block off access to the corporate network and data. And, even wherea legitimate and authorised external query requests corporate data, no directconnection will be permitted from the external client, only a back-end serverwill issue the request (which may require additional authentication) fromthe internal corporate network. How much data may be accessible from theoutside is also depending on asset values that may be represented by thesedata",Human-written
TRAIN_327,"Thousands of real-time views of the world are available on the Web. These include everything from the prosaic (a coffee machine at MIT) to the international (a view of downtown Paris or Tokyo) to the sublime (a Rocky Mountain sunset). All of these views are made possible thanks to the availability of inexpensive digital cameras ,. To create a basic webcam, the user connects a digital camera to a PC, usually via a USB cable. A program controls the camera, taking a picture at frequent intervals (perhaps every 30 seconds or minute). The picture is received from the camera as a JPG (JPEG) file. The program then uploads the picture to the userâ€™s Web page (usually using file transfer protocol, or ftp), replacing the previous picture. Users connected to the Web site can click to see the latest picture. Alternatively, a script running on the server can update the picture automatically.",Human-written
TRAIN_328,"An applet is a small program that uses the resources of a larger program and usually provides customization or addi-tional features. The term first appeared in the early 1990s in connection with Appleâ€™s AppleScript scripting language for the macintosh operating system. Today Java applets rep-resent the most widespread use of this idea in Web develop-ment ,. Java applets are compiled to an intermediate repre-sentation called bytecode, and generally are run in a Web browser ,. Applets thus represent one of several alternatives for interacting with users of Web pages beyond what can be accomplished using simple text markup ,. An applet can be invoked by inserting a reference to its program code in the text of the Web page, using the HTmL applet element or the now-preferred object element. Although the distinction between applets and scripting code (such as in PHP) is somewhat vague, applets usually run in their own window or otherwise provide their own interface, while scripting code is generally used to tailor the behavior of separately created objects. Applets are also rather like plug-ins, but the latter are generally used to provide a particular capability (such as the ability to read or play a particular kind of media file), and have a stan-dardized facility for their installation and management ,. Some common uses for applets include animations of scientific or programming concepts for Web pages support-ing class curricula and for games designed to be played using Web browsers. Animation tools such as Flash and Shockwave are often used for creating graphic applets. To prevent badly or maliciously written applets from affecting user files, applets such as Java applets are gen-erally run within a restricted or â€œsandboxâ€ environment where, for example, they are not allowed to write or change files on disk.",Human-written
TRAIN_329,Smurfing is an attack that exploits features of the IP protocol within theTCP/IP protocol used for internet communications. A smurf attack causes a victimâ€™s computer to become completely â€˜waylaidâ€™ with answering fictitious network requests (â€˜Pingsâ€™) that it grinds to ahalt and prevents anyone else from logging on.,Human-written
TRAIN_330,"These general principles also apply to systems where more than one processor is available ,, but there is the added complication of deciding where the scheduling program will be run. In a multiprocessing system that has one â€œmasterâ€ and many â€œslaveâ€ processors, the scheduling program runs on the master processor. This arrangement is simple, but it means that when a slave processor wants to schedule a program it must wait until the scheduling program gets its next time-slice on the master processor. One alternative is to allow any processor that has free time to run the scheduling algorithm. This is harder to set up because it requires a mechanism to make sure two processors do not try to run the scheduling program at the same time, but it smoothes out the bottleneck that would arise from relying on a single processor.",Human-written
TRAIN_331,"By the 1990s, PC users generally used tapes only for making backups. A typical backup tape drive uses DAT (digital audio tape) cartridges that hold from hundreds of megabytes to several gigabytes of data. Most drives use a rotating assembly of four heads (two read and two write) that verify data as itâ€™s being written. As a backup medium, tape has a lower cost per gigabyte than disk devices. It is easy to use and can be set up to run unattended (except for periodically changing cartridges). However, since tapes are written and read sequentially, they are not convenient for restoring selected files ,. Many smaller installations now prefer using a second (â€œmirrorâ€) hard drive as backup, using disk arrays , or using recordable CDs or optical drives for smaller amounts of data ,. Many large companies and government agencies have thousands of reels of tape stored away in their vaults since the 1960s, including data returned from early NASA space missions. As time passes, it becomes increasingly difficult to guarantee that this archived data can be successfully read. This is due both to gradual deterioration of the medium and the older data formats becoming obsolete ,.",Human-written
TRAIN_332,Sniffer is software designed to look at and/or to collect traffic on the wire. Sniffing tools are built into majority of UNIX type systems and there is wealthof free tools available on the internet for other platforms. Majority of themare designed around the libpcap library and tcpdump tool. Some IntrusionDetection Systems have option of being run as a sniffer too.,Human-written
TRAIN_333,"Advantages of digital libraries include the following:166? ? ? ? e-books and digital libraries, There is never a shortage of copies or the need for a reader to wait for access. ,? Many digital libraries allow full searching of the text of all volumes. Libraries can also use a common data format (such as â€œOpen Archives. â€) to make their material searchable throughout the Internet. ,? Many older, hard-to-find books can be made more â€œdiscoverableâ€ and accessible",Human-written
TRAIN_334,"An operating system is an overarching program that manages the resources of the computer. It runs programs andprovides them with access to memory (RAM), input/outputdevices, a file system, and other services. It provides application programmers with a way to invoke system services, andgives users a way to control programs and organize files. The â€œcoreâ€ functions include â€œbootingâ€ the system and initializing devices, process management(loading programs intro memory assigning them a share ofprocessing time), and allowing processes to communicatewith the operating system or one another ,. Multiprogramming systems often implement not only processes (running programs) but also threads, or sections ofcode within programs that can be controlled separately. A memory management scheme is used to organize andaddress memory, handle requests to allocate memory, freeup memory no longer being used, and rearrange memory tomaximize the useful amount ,. There is also a scheme for organizing data created orused by programs into files of various types ,. Mostoperating systems today have a hierarchical file system thatallows for files to be organized into directories or foldersthat can be further subdivided if necessary",Human-written
TRAIN_335,"Click Wrap Agreement checks if a user meets certain requirements, by clicking on the I Agree button, the user has agreed to complete terms of use agreement including another confirmation that the user meets certain requirements(e. g. , working at an educational institutions or being located in a country theproduct can and may be used). To complete the agreement, the user mayagain be required to scroll to the bottom of the agreement and click on the â€œIAgreeâ€ icon [see also End User License Agreement (EULA), Jurisdiction]. This is also sometimes called a Shrink Wrap Agreement, whereby rippingoff the shrink wrap around the software implies that the user will take advantage of the software according to the conditions stipulated by the vendor",Human-written
TRAIN_336,"There are a number of ways that sound can be sampled, stored, or generated digitally ,. Here we will look at some of the most popular sound file formats. WAVThe WAV (wave) file format is specific to Microsoft Windows. It essentially stores the raw sample data that represents the digitized audio content, including information about the sampling rate (which in turns affects the sound quality). Since WAV files are not compressed, they can consume considerable disk space. AIFFAIFF stands for Audio Interchange File Format, and is specific to the Apple Macintosh and to Silicon Graphics (SGI) platforms. Like WAV, it stores actual sound sample data. A variant, AIFF-C, can store compressed sound. AUThe AU (audio) file format was developed by Sun Microsystems and is used mainly on UNIX systems, and also in Java programming. MIDIMIDI stands for Musical Instrument Digital Interface. Unlike most other sound formats, MIDI files donâ€™t represent sampled sound data. Rather, they represent virtual musical instruments that synthesize sound according to complex algorithms that attempt to mirror the acoustic characteristics of real pianos, guitars, or other instruments. Since MIDI is like a â€œscoreâ€ for the virtual instruments rather than storing the sounds, it is much more compact than sampled sound formats. MIDI is generally used for music composition rather than casual listening. MP3MP3 is actually a component of the MPEG (Moving Picture Expert Group) multimedia standard, and stands for MPEG1 Audio Layer 3. It is now the most popular sound format, using compression to provide a balance of sound quality",Human-written
TRAIN_337,"Today it is easy to optically scan text or graphics printed onpages and convert it into a graphical representation for storage in the computer ,. However, a shape suchas a letter c doesnâ€™t mean anything in particular as a graphic. Optical character recognition (OCR) is the process of identifying the letter or other document element that correspondsto a given part of the scanned image and converting it tothe appropriate character ,. Ifthe process is successful, the result is a text document thatcan be manipulated in a word processor, database, or otherprogram that handles text. Raymond Kurzweil (1948â€“ )marketed the first commercially practicable general-purposeoptical character recognition system in 1978.",Human-written
TRAIN_338,"When a user types in (or clicks on) a link in the browser window, the browser sends a HTTP request ,. To construct the request, the browser first looks at the address (URL) in the user request. An address such as http://www. well. com/conferencing. html consists of three parts In order to direct the browserâ€™s request to the appropriate host and server, the browser sends the URL to a name server ,. The name server provides the appropriate numeric IP address ,. The browser then sends an HTTP â€œgetâ€ request to the serverâ€™s IP address. Assuming the page requested is valid, the server sends the HTML file to the browser. The browser in turn interprets the formatting and display instructions in the HTML file and â€œrendersâ€ the text and graphics appropriately. It is remarkable that this whole process from user click to displayed page usually takes only a few seconds, even if the Web site is thousands of miles away and requests must be relayed through many intervening computers",Human-written
TRAIN_339,"The operation of the Internet requires that each participating computer have a unique address to which data packets can be routed ,. The Domain Name System (DNS) provides alphabetical equivalents to the numeric IP addresses, giving the now familiar-looking Web addresses (URLs), e-mail addresses, and so on. The system uses a set of â€œtop-levelâ€ domains to categorize these names. One set of domains is based on the nature of the sites involved, including: . com (commercial, corporate), . edu (educational institutions), . gov (government), . mil (military), . org (nonprofit organizations), . int (international organizations), . net (network service providers, and so on). The other set of top-level domains is based on the geographical location of the site. For example, . au (Australia), . fr (France), and . ca (Canada). (While the United States has the . us domain, it is generally omitted in practice, because the Internet was developed in the United States)",Human-written
TRAIN_340,"The Master Boot Record (MBR) is a piece of code at the beginning of a hard disk that initiates the boot process and contains information about the disk's partition table and boot loader. It can be vulnerable to malware attacks, and preventative measures such as antivirus software and backups are recommended.",AI-generated
TRAIN_341,"Internet Protocol Version 6 (IPv6) is the â€œnext generationâ€ protocol designed by the Internet Engineering Task Force (IETF) to replace the currentversion Internet Protocol, IP Version 4 (â€œIPv4â€). Most of todayâ€™s internet uses IPv4, which is now twenty years old. IPv4has been remarkably resilient in spite of its age, but it is beginning to haveproblems. Most importantly, there is a growing shortage of IPv4 addresses,which are needed by all new machines added to the Internet. IPv6 fixes a number of problems in IPv4, such as the limited number ofavailable IPv4 addresses. It also adds many improvements to IPv4 in areassuch as routing and network autoconfiguration. IPv6 is expected to graduallyreplace IPv4, with the two coexisting for a number of years during a transitionperiod ,.",Human-written
TRAIN_342,"The most popular e-commerce sectors today include the selling of books, music and movies, travel-related services, electronics, clothing, luxury goods, and medications. (In 2006, online buyers actually spent more money on clothing than on computers and related products. ) A number of other online activities can be considered part of e-commerce, although they are usually not included in retailing statistics",Human-written
TRAIN_343,"In recent years there has been growing concern that Internet users may eventually be treated differently by service pro-viders depending on the kind of data they download or the kind of application programs they use online. Advocates of network (or net) neutrality , want legislation that would bar cable, DSL, or other provid-ers , from making such distinctions, such as by charging content pro-viders higher fees for high volumes of data or even blocking certain applications. Advocates of net neutrality believe that, since there are rather limited choices for broadband Internet service, discrimination on the basis of Web content could lead to a loss of freedom for consumers and providers alike.",Human-written
TRAIN_344,"A data structure is a way of organizing data for use in a computer program. There are three basic components to a data structure: a set of suitable basic data types, a way to organize or relate these data items to one another, and a set of operations, or ways to manipulate the data. For example, the array is a data structure that can consist of just about any of the basic data types, although all data must be of the same type. The way the data is organized is by storing it in sequentially addressable locations. The operations include storing a data item (element) in the array and retrieving a data item from the array.",Human-written
TRAIN_345,"Web users increasingly have access to such content as news broadcasts, songs, and even full-length videos. The problem is that the user must receive the content in real time at a steady pace, not in sputters or jerks. However, factors such as load on the Web server and network congestion between the server and user can cause delays in transmission. One way to reduce the problem would be to compress the data ,. However, excessive compression would compromise audio or picture quality to an unacceptable extent. Fortunately, a technology called streaming offers a way to smooth out the transmission of large amounts audio or video content ,. When a user clicks on an audio or video link, the player software (or Web browser plug-in) is loaded and the transmission begins. Typically, the player stores a few seconds of the transmission ,, so any momentary delays in the transmission of data packets will not appear as the data starts to play. Assuming the rate of transmission remains sufficient, enough data remains in the buffer so that data can be â€œfedâ€ to the playing software at a steady pace. If, however, there is too much delay due to network congestion, the playback will pause while the player refills its buffer",Human-written
TRAIN_346,"Abstract data types are used to describe a â€œgenericâ€ type of data, specifying how the data is stored and what operations can be performed on it ,. DFor example, an abstract stack data type includes a structure for storing data (such as a list or array) and a set of operations, such as â€œpushingâ€ an integer onto the stack and â€œpoppingâ€ (removing) an integer from the stack. (For the process of combining data and operations into a single entity, see encapsulation. ) Abstract data types can be implemented directly in object-oriented programming languages",Human-written
